e3ligase,substrate
BTRC,PDCD4;CCNE1;PSMD4;FOXO3;MYC;WWTR1;CDC25B;EEF2K;KDR;USP37;UHRF1;GHR;FZR1;TRIB2;GSK3B;TFAP4;TIAM1;CDK1;BHLHE40;BCL10;TRAF3IP2;IRAK1;GLI2;GLI3;YAP1;HSF1;NFE2L1;NFE2L2;ELF3;TP53;STAT1;DAND5;TWIST1;BTG2;BTG1;BORA;MIS18A;CCND1;PTTG1;CLSPN;RASSF1;CASP3;BCL2L11;MCL1;HNRNPD;CPEB1;ELAVL1;TERF1;BMI1;PFKFB3;EPOR;IFNGR1;IL10RA;PTP4A3;DEPTOR;PHLPP1;HRAS;FN1;SPAAR;CTTN;FGD1;FGD3;CDH1;USP47;BST2;NFKB2;CDC25A;CTNNB1;RCAN1;WEE1;NFKB1;LPCAT1;NFKBIA;DDIT4;FBXO5;DLG1;MDM2;PER1;SMAD3;SMAD4;ATF4;PRLR;NFKBIE;FANCM;CD4;SNAI1;NFKBIB;PER2;CREBZF;PLK4;REST;PKD2;CEP68;CHUK;SP1;IFNAR1;METAP2;DLG5;COMMD1;NRF1;FBXW11;LPIN2
FBXW8,CCND1;GORASP1;IGFBP2;IRS1;TBC1D3;MAP4K1
BARD1,POLR2H;BRCA1;POLR2A;ESR1;H2AX
AMFR,HERPUD1;SOD1;UBL4A;CYP3A4;HMGCR;SERPINA1;APOB;CFTR;INSIG1;CD3D;CD82;SERPINI1;MFN1;MFN2
SH3RF1,HERPUD1;PDCD6IP;KCNJ1;HGS;KCNJ2;HEY2
FBXL3,CRY2;CRY1
FBXO8,ARF6;GSTP1
UHRF1,H3C8;DNMT1;TP53;PML
DZIP3,H2AC8;ATXN1
RNF4,SUMO2;DAND5;ATXN1;PML;RNF4;ETV4;PARP1;EPAS1;CENPI;ZNF746
RFFL,RIPK1;RFFL;TP53;PRR5L;CASP8;CASP10;SFN
WWP2,SLC11A2;SMAD7;SMAD3;PAIP1;NOTCH3;POU5F1;POLR2A;WWP2;EGR2;PTEN;ABI3;TP73;TICAM1
ASB2,FLNA;FLNB
F12,HIF1A
RNF168,H2AC20;H2AX;H2AC17;KDM4A
RAD18,TP53BP1;PCNA;RFC2;RAD18;FANCD2
SIAH2,PSMD4;TINF2;TP53BP2;CHEK2;PIAS1;SNCA;AKAP1;EGLN1;PML;POU2AF1;DCC;NCOR1;SYP;PLCE1;TANK;EGLN3;PPP1R12A;TP53;SPRY2;KIF15;SH3KBP1;BAG1;DYRK2;SNCAIP;HDAC3;CDKN1B;HIF1A;PPARG;AR;LATS2;EGLN2;ZEB1
UBE3A,PSMD4;CDKN1B;PRDX1;UCHL5;RAD23A;ANXA1;TP53;SCRIB;RAD23B;PML;TSC2;BAK1;LLGL1;GOPC;DLG1;NCOA3;SIPA1L1;RB1;PTPN3;MCM7;SNCA;ARPC3;BLK;ARNTL;DLG4;UBE3A;NELFCD;PRRX1;ESR1;DDI1;PTPA;CEBPA
DCAF1,KATNA1;UNG;MCM10;SAMHD1;PPP2R1A;NF2;TERT;LATS1;LATS2
FBXO42,TP53
RBCK1,IKBKG;TRIM25;PRKCA;IREB2;RBCK1;TAB3;TAB2;IRF3;RIPK1;BACH1;NR1I2
PELI1,RIPK1;BCL6;IRAK1;RALBP1;TRAF3
MARCHF5,SOD1;TANK;MAP1B;MFN2;MFN1;DNM1L;MARCHF5;FIS1;UTRN;CIITA;ATXN3;TNFRSF10A
KCTD13,RHOA
TNFAIP1,RHOA
DTX3L,H4C9;H2BC11
KEAP1,IKBKB;PALB2;NFE2L2;PGAM5;MCM3;SQSTM1
CDC20,CCNA2;CENPF;MCL1;RASSF1;SP100;AXIN2;REV1;PHF8;CCNB1;PTTG1;BUB1B;NEK2;CDKN1B;RUNX1;CDKN1A;KMT2A;NEUROD2;HLA-DRB4;TRRAP
KLHL9,AURKB;CCNB1;CEBPB;BORA
KLHL13,AURKB;CCNB1;BORA
TANK,TICAM1;IKBKE;DUSP14;RIPK1;TRAF3;KRR1;MAPK11;BIRC3;MLST8
KCTD11,HDAC1
KLHL12,DRD4;CCNB1;SEC31A;SEC31B;DVL3;PEF1;LNPK;KHSRP
RAG1,H3-4;KPNA1;RAG1
DTL,PCNA;KMT5A;KAT2A;CHEK1;TDG;CDKN1A;CDT1;TP53;FBH1;POLD4;CRY1;CDC6;POLH;PDCD4;ERCC5;SDE2
FAF2,NF1
FBXO4,TERF1;CCND1;FXR1;MCL1;ICAM1
SIAH1,CACYBP;TERF2;SNCAIP;SNCA;CTNNB1;HIPK2;MAPRE3;EGLN1;PML;AFF1;HIF1A;HIF1AN;NUMB;PKD1;SYP;MYB;TRIB3;PLCE1;KHDRBS3;RBBP8;KLF10;DCC;POU2AF1;KIF22;GRM5;STAR;ELL2;FLT3;BAG1;EGLN2;EGLN3;XIAP;JADE1;TNK2;ZEB1
SYVN1,APP;GPR37;TP53;HMGCR;MAPT;TTN;NCSTN;CLU;SLC6A4;SGK1;SYVN1;AMFR;ERN1;HTT;CLUAP1;PACRG;SERPINA1;CD3D
ASB9,CKMT1B;CKB
RNF2,H2AC20;H2AX;RRM1;AMBRA1;H2AC19;RYBP;H2AC17;H2AZ1;GMNN;RNF2
CHFR,HLTF;SMARCA4;SMARCB1;SMARCD1;PARP1;PLK1;HDAC1;KIF22;AURKA;CHFR;PBK
RNF5,MAVS;JKAMP;PXN;CFTR;STING1;UBE2L3;SLC26A4
FBXW7,KLF5;EBNA1BP2;MED13;MED13L;KLF2;CEBPA;CCDC6;TP63;DEK;HIF1A;NF1;NFKB2;CSF3R;CREB3L1;CREB3L2;AURKB;SREBF1;CEBPD;JUNB;KLF13;NFE2L1;TGIF1;NR3C1;NCOA3;PPARGC1A;TOP2A;BRAF;MCL1;RCAN1;MYC;MYB;JUN;CCNE1;CCNE2;MTOR;MYCN;NOTCH1;PSEN1;AURKA;SREBF2;BIRC2;ASCC2;TP53;SNAI1;SOX9;SIK2;ZEB2;XBP1;CRY2;SHOC2
SMURF2,SMAD5;AXIN1;RHOA;ID1;ID3;TRAF4;BTRC;RNF11;SMAD4;SMAD1;TGFBR1;RAP1B;SMAD2;SMAD7;RUNX2;TNFRSF1B;CTNNB1;SKIL;STAMBP;SMURF1;GSK3B;STAMBPL1;SMAD3;EGFR;KLF5;TGFBR2;RNF20;MAD2L1;SATB1;TOP2A
PRPF19,PRPF3;RPA2;RPA1
SPSB2,NANOS2
SMURF1,ING2;AXIN1;TRIB2;SMAD1;SMAD5;SMAD7;TRAF4;USP5;MAP3K2;SPART;RHOA;C9orf78;MINDY3;FGR;PRKCA;CTTN;ZFAND5;ANKRD13D;ANKS4B;EPHA1;FES;GDF15;HIP1;PRKCG;MAP3K9;NEK2;RNF114;TNIP2;TOM1;RUNX2;ANKRD13A;ANXA6;CUEDC1;LCK;SCYL1;ODF2;PDGFRA;TNIK;TPM4;UBE2V1;CSNK2A2;ELOF1;IMPACT;MSN;OTUD6B;PICALM;CALCOCO1;TRIP10;EPN1;CSNK1D;PRKCI;MAP3K10;PADI4;PSMD4;ANKRD50;RABEP2;RAC1;RAD23A;RIOK3;TBK1;TGFBR1;UBQLN2;GRK3;ASCC2;C7orf50;FGF12;FKBP3;KRT36;SLAIN2;ADRM1;ATXN3;BTK;ILRUN;FAF2;HOMER2;MATK;TAOK3;TOM1L2;UBAC1;UBE2K;UBQLN1;UBXN6;PRR16;CCDC69;ITK;MAP4K5;MARK2;ENTR1;SMAD6;TAB1;UBE2G1;RBCK1;TLN1;MAVS;TBX6;TGFBR2;BMPR2;BMPR1A;BMPR1B;UBE2D1;UBE2D3;KLF2;UVRAG
HERC2,BRCA1;USP20;XPA;NEURL4
VHL,DVL2;HNRNPD;CLU;USP20;USP33;HIF1A;EPAS1;HIF3A;IREB2;PRKCI;POLR2G;BHLHE40;FN1;ADRB2;HIF1AN;SKP2
CBL,BCR;CTNNB1;PIK3R1;MET;EGFR;ABL1;SYK;IGF1R;PDGFRA;LCK;STAT5B;KDR;FGFR3;FGFR1;IL6ST;EPHB1;ITGA5;VAV1;HGS;LYN;SH3KBP1;FRS2;FGFR4;MST1R;FYN;SORBS2;NGFR;BCL2L11;F2RL1;PIK3CG;SPRY2;CSF1R;MYCBPAP;EPHA2;FLT1;LRIG1;STAT5A;SRC;PLCG1;KIT;ERBB2;FGFR2;PDGFRB;MPL;IRF8;CRKL;IL2RG;STAP2;EPHA8;CD5;NFATC1;TEK;FCGR2A;SPRED2;FGR;PDGFA;ARHGEF7;YES1;CFTR;ALK
UCHL1,SMN2
