e3ligase,substrate
TBL1X,CTNNB1
KLHL10,CCNB1
KLHL11,CCNB1
TRIM5,TRIM5
ZSWIM2,ZSWIM2
PIAS2,STAT1
RNF125,IFIH1;DDX58;MAVS;JAK1;TP53
TRAF1,MAP3K14
TRIM22,TRIM22
UBE3C,CAND2;UBE3C
CBLL1,CDH1;CTTN;ART4;ANXA2
MYCBP2,TSC2
MARCHF6,DIO2;SQLE
RNF19B,UCKL1
TRIM2,NEFL;BCL2L11
PDZRN3,MUSK
SHPRH,PCNA
RNF180,ZIC2
TRIM11,MED15;PAX6;SLC6A4;ARX;HTT
TRIM24,TP53
ARIH1,SIM2;EIF4E2
OSTM1,GNAI3
PCGF1,H2AC17
PEX10,PEX5
RFPL4A,CCNB1
RNF139,INSIG1
RNF181,ITGA2B
RNF11,SMURF2
RNF14,RNF14
MARCHF11,CD4
MID1,PPP2CA
SAG,CDC34;PMAIP1;CDKN1B;DEPTOR;HIF1A;NFKBIA;JUN;NF1
RBX1,RPS6KB1;ESR1;NFE2L2
RACK1,HIF1A;CLEC1B
RING1,H2AC17
EP300,TP53;E2F1
TRAF2,BIRC3;RIPK1;KRR1;TICAM1;ZBTB17;TRAF2;MAP3K14
DTX1,MAP3K1
RNF25,NKD2
TRIM36,IRF3
FBXO34,MYOD1
HECW2,TP73
TRIM9,TRIM9
ARID1B,ARID1B
TRIM3,GKAP1
BFAR,TMBIM6
TRIM38,TRIM38;TRAF6
AHR,ESR1;PPARG
RNF170,ITPR1
TRIM27,PIK3C2B
DTX4,TBK1
RNF149,BRAF
TRAF7,TP53
RNF130,VAMP3
HECTD1,PIP5K1C
UBR4,TRPV5
CCAR1,TP53
CRBN,CRBN;TP63;SALL4;MAPT;IKZF3;IKZF1
CUL1,TP53
CGRRF1,EGFR
FBXO27,LAMP2
KCTD10,TICAM1;CEP97;RHOB
CUL5,TP53;APOBEC3G
KLHL6,RC3H2;CDK2
CUL7,TP53
RHOBTB1,PDE5A
KLHL15,RBBP8;PPP2R5B
TRIM59,MACROH2A1
DCAF15,RBM39
RNF183,TNFRSF10B;ATP1B1
DCAF12,MAGEA3;MAGEA6
DCAF11,GEN1
KLHL7,TUT1
KLHL42,PPP2R5E
KLHL25,EIF4EBP1
KLHL18,AURKA
DCAF4,OPTN;ST7
FBXO28,FBXO28
NEURL1,PDE9A
