e3ligase,substrate
STUB1,CYP3A4;ATXN1;CFTR;NOS1;MAPT;HSPA8;SMAD1;TP53;PSMD4;BAG1;ATXN3;ERBB2;SNCA;AR;RAF1;SMG5;NR3C1;AHR;STUB1;SGK1;ESR2;RUNX2;SMAD3;TAL1;NOS2;STK4;ALK;ESR1;NCOA3;SOD1;DPM1;RUNX1;DLK1;HTT;FOXO1;MAP3K12;MKKS;LRRK2;MAP3K5;NPM1;AKT1;GATA4;GUCY1A2;MST1R;HSPA4;NQO1;IRF1;HSP90AA1;PRKCZ;SRC;MYOCD;MAP3K2;ATCAY;HSF1;S100A2;S100P;FOXP3;SIRT6;EIF5A;KIAA1524;TRAF6;MAP3K11;ERN1;MCF2;PTEN;BACE1;POLB;EPHA2;CIP2A;NANOS1;NANOS2;SLC6A4;NOS3;DAPK1;TRAF3;SMAD4;HIF1A;NEFM;NFS1;TRAF2;STK11;CREM;CYBB;NOX5;CTBP2;SLC12A3;ARNTL;PRKACA;PRKACB;MYC
RCHY1,TP53;COPE;CDKN1B;POLH;SRPRB;GORAB;HDAC1;SRP9;TP73;TP63;CHEK2;POLQ
RBBP6,YBX1;ZBTB38
DTL,CDKN1A;CDT1;TP53;SETD8;CHEK1;TDG;PCNA;KAT2A;FBXO18;KMT5A;FBH1;POLD4;CRY1;CDC6;POLH;PDCD4;ERCC5;SDE2
NEDD4,AP1G2;IGF1R;PTEN;POLR2A;NTRK1;NDFIP2;TNK2;EGFR;ERBB4;GJA1;MLANA;TSG101;SYK;NEDD4;AR;ADRB2;N4BP1;SLC1A1;APPL1;MTMR4;SLC9A1;LYN;NDFIP1;APOBEC3G;EPS15;RAPGEF2;GGA3;BCL10;NOTCH1;HGS;TTYH2;SCN5A;SLC6A3;SCNN1G;RNF11;LAPTM5;SCNN1B;SNCA;PSMD4;BECN1;AKT1;PPARG;MDM2;ERBB3;RNF7;MYCN;LATS1;PAX7;SAV1;WBP2;IRS2;IFITM3;THOC1;KDR;BRAT1;SRC;ANXA13;DTX1;SPRY2;PDCD6IP;FGFR1;DCUN1D1;AMOT;KIF26B;MYC;AKT2;AKT3;GRIN2D;F2R;PIP5K1A;SPDYA;ERRFI1;ABCB1;LGR5;DVL2;LGR4;CDKN1A;GRIA1;SAG;GUCD1;SQSTM1;HRAS;KRAS;NRAS;H3C8
XIAP,MAP3K2;CASP9;DIABLO;PTEN;COMMD1;MAP3K7;CASP3;RAF1;XIAP;AIF1;RIPK4;AIFM1;4-Sep;XAF1;PGAM5;RIPK2;MAP3K3;TLE3;CASP7;CASP8;CCS;BIRC5;TLE1;TLE2;TLE4;AES;SEPTIN4;TLE5
RNF41,PRKN;BIRC6;ERBB3;RNF41;ERBB4;MYD88;TBK1;IRF3;EPO;EPX;ZNF746;CEBPB
ITCH,NFE2;TP73;SNX9;MAP2K4;SMAD2;TXNIP;CBL;CPSF6;BCL10;BID;ERBB4;NEDD9;ITCH;NOTCH1;TP63;KLF10;CXCR4;MLANA;CFLAR;JUNB;JUN;EGFR;TRPV4;INPPL1;TGIF1;RIPK2;SH3GLB1;NOTCH3;GLI1;LAPTM5;DVL2;POU5F1;LATS1;RIPK1;PLCG1;FYN;HGS;MAVS;MAP3K7;DTX1;BRAT1;DDX5;OCLN;SH3GL2;TRPC4;PLIN1;PLIN2;BIRC2;GLIS3;PI4K2A;SMAD7;PTCH1;FOXO1;H1-2;BRAF;TAB1;RASSF5;SUFU;CD247;ERBB3;LRP6;ITSN1;YAP1;AMOT
RNF128,CD40LG;ARHGDIB;CD83;ARHGDIA;COR1A;ARPC5;CORO1A
TRIP12,NAE1;SOX6;CDKN2A;SMARCE1;ARFGAP1
